Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,23.424999,23.520000,22.639999,22.645000,18.822811,12922400
2012-01-04,22.705000,23.315001,22.639999,23.084999,19.188545,13886800
2012-01-05,23.094999,23.200001,22.775000,23.180000,19.267506,9731800
2012-01-06,23.190001,23.455000,23.115000,23.360001,19.417124,8105400
2012-01-09,23.365000,23.400000,23.135000,23.295000,19.363100,7261600
2012-01-10,23.525000,23.639999,23.195000,23.410000,19.458691,7868000
2012-01-11,23.320000,23.605000,23.235001,23.559999,19.583374,8201000
2012-01-12,23.665001,23.815001,23.525000,23.799999,19.782862,8973400
2012-01-13,23.750000,23.799999,23.469999,23.680000,19.683113,9538200
2012-01-17,23.969999,23.995001,23.764999,23.855000,19.828583,7536600
2012-01-18,23.930000,24.075001,23.809999,24.020000,19.965734,11219400
2012-01-19,23.990000,24.025000,23.850000,24.010000,19.957415,10540800
2012-01-20,23.969999,24.195000,23.905001,24.075001,20.011442,9582200
2012-01-23,24.075001,24.100000,23.555000,23.670000,19.674803,15163000
2012-01-24,23.629999,23.900000,23.520000,23.825001,19.803642,10309200
2012-01-25,24.045000,24.045000,23.674999,23.885000,19.853518,14279000
2012-01-26,24.030001,24.245001,23.530001,24.170000,20.090410,24982200
2012-01-27,23.945000,23.965000,23.455000,23.924999,19.886759,26973400
2012-01-30,23.684999,24.240000,23.625000,24.240000,20.148592,16458600
2012-01-31,24.270000,24.309999,23.910000,23.959999,19.915859,11731200
2012-02-01,24.170000,24.215000,23.770000,24.120001,20.048849,16545600
2012-02-02,24.115000,24.245001,23.705000,23.830000,19.807793,11977800
2012-02-03,23.985001,24.200001,23.969999,24.160000,20.082094,9995800
2012-02-06,24.059999,24.250000,23.995001,24.145000,20.140484,7415200
2012-02-07,24.125000,24.299999,24.059999,24.205000,20.190540,6351800
2012-02-08,24.235001,24.405001,24.139999,24.360001,20.319832,7672200
2012-02-09,24.430000,24.680000,24.379999,24.600000,20.520023,9513600
2012-02-10,24.400000,24.450001,24.250000,24.410000,20.361538,8176400
2012-02-13,24.525000,24.635000,24.365000,24.625000,20.540878,7716600
2012-02-14,24.485001,24.559999,24.330000,24.559999,20.486658,6621200
2012-02-15,24.525000,24.600000,24.205000,24.240000,20.219730,8092600
2012-02-16,24.180000,24.395000,24.165001,24.260000,20.236418,9766400
2012-02-17,24.334999,24.510000,24.215000,24.225000,20.207218,12705800
2012-02-21,24.209999,24.434999,24.035000,24.129999,20.127972,8291600
2012-02-22,24.145000,24.219999,23.934999,24.165001,20.157175,8649400
2012-02-23,24.170000,24.275000,24.000000,24.230000,20.211393,8253400
2012-02-24,24.200001,24.350000,24.049999,24.150000,20.144659,6553400
2012-02-27,24.065001,24.280001,23.889999,24.115000,20.115465,6713000
2012-02-28,24.115000,24.459999,24.080000,24.455000,20.399073,7653200
2012-02-29,24.430000,24.440001,24.245001,24.280001,20.253098,10245200
2012-03-01,24.344999,24.545000,24.235001,24.355000,20.315657,8673000
2012-03-02,24.379999,24.559999,24.264999,24.445000,20.390734,8177400
2012-03-05,24.344999,24.700001,24.344999,24.520000,20.453287,8906600
2012-03-06,24.270000,24.520000,24.049999,24.165001,20.157175,8207400
2012-03-07,24.215000,24.760000,24.195000,24.745001,20.640970,11421200
2012-03-08,24.825001,25.375000,24.825001,25.184999,21.008001,16631600
2012-03-09,25.875000,26.235001,25.535000,25.920000,21.621096,28375800
2012-03-12,25.980000,26.010000,25.469999,25.555000,21.316631,13623600
2012-03-13,25.620001,26.174999,25.559999,26.170000,21.829639,18471600
